Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AE,DUY,Ras Zubbaya (Ras Dubayyah),Ras Zubbaya (Ras Dubayyah),,RQ,0-------,9012,,,
,AE,REI,Reem Island,Reem Island,AZ,RL,--3-----,1701,,2429N 05424E,
,AE,RWP,Ruwais Port,Ruwais Port,AZ,RL,1-------,1407,,2406N 05243E,
,AE,SID,Sadiyat Island,Sadiyat Island,,RQ,1-------,0901,,2432N 05424E,
,AE,SHJ,Sharjah,Sharjah,SH,AI,1-34----,1307,,2521N 05523E,
,AE,SIL,Sila,Sila,AZ,RL,--3-----,1407,,2404N 05145E,
,AE,SRT,Steven Rock Terminal,Steven Rock Terminal,RK,RL,-----6--,1407,,2558N 05603E,
,AE,SWE,Swaihan,Swaihan,AZ,RL,--3-----,1701,,2427N 05520E,
,AE,DUJ,The Palm Jumeirah,The Palm Jumeirah,DU,RQ,1-------,0901,,,
,AE,ULR,Umm Al Nar,Umm Al Nar,,RQ,1-------,0201,,2426N 05430E,
,AE,QIW,Umm al Qaiwain,Umm al Qaiwain,,AI,1--4----,0212,,2534N 05533E,
,AE,VHT,Vopak Horizion Terminal,Vopak Horizion Terminal,RK,RL,-----6--,1407,,2537N 05616E,
,AE,YAS,Yas Island,Yas Island,AZ,RL,1-------,1207,,2419N 05236E,
,AE,ZUR,Zirku Island,Zirku Island,AZ,RL,1-------,0212,,2453N 05304E,
,AF,ASH,Ali Shirzayi,Ali Shirzayi,URU,RQ,--3-----,1307,,3252N 06603E,
,AF,BAG,Bagram,Bagram,PAR,RL,--3-----,0307,,3457N 06915E,
,AF,BIN,Bamian,Bamian,,AI,--34----,0907,,,
,AF,BEP,Bazar-E-Panjwai,Bazar-E-Panjwai,KAN,RQ,--3-----,1001,,3133N 06527E,
,AF,BST,Bost,Bost,,AI,---4----,9912,,,
,AF,CBN,Camp Bastion,Camp Bastion,HEL,RQ,--34----,1307,OAZ,3151N 06413E,
,AF,CDW,Camp Dwyer,Camp Dwyer,HEL,RQ,--3-----,0907,,3107N 06411E,
,AF,CLN,Camp Leatherneck,Camp Leatherneck,HEL,RL,--3-----,1307,,3153N 06411E,
,AF,CSO,Camp Salerno,Camp Salerno,KHO,RL,--3-----,0901,,3324N 07004E,
